FID,camera_id,Subcl_Veg,SUM_Shape_
125,BE1063,"7.C Herbaceous & Woody Developed Vegetation,Herb",457371.1392
126,BE1063,"7.C Herbaceous & Woody Developed Vegetation,Shrub",13540.71716
127,BE1063,"7.C Herbaceous & Woody Developed Vegetation,Tree",107160.6023
128,BE1063,"Developed-Low Intensity,Developed",32626.39204
129,BE1063,"Developed-Medium Intensity,Developed",6764.937212
130,BE1063,"Developed-Roads,Developed",63494.95343
131,BE1063,"Open Water,Water",683.9408626
132,BE1068,"1.B Temperate & Boreal Forest & Woodland,Tree",436465.5507
133,BE1068,"7.C Herbaceous & Woody Developed Vegetation,Herb",33074.55863
134,BE1068,"7.C Herbaceous & Woody Developed Vegetation,Shrub",7222.808105
135,BE1068,"7.C Herbaceous & Woody Developed Vegetation,Tree",106199.6143
136,BE1068,"Developed-High Intensity,Developed",6031.653423
137,BE1068,"Developed-Low Intensity,Developed",61743.84286
138,BE1068,"Developed-Medium Intensity,Developed",42326.63139
139,BE1068,"Developed-Roads,Developed",35625.00872
140,BE1068,"Open Water,Water",43852.81786
141,BE1079,"1.B Temperate & Boreal Forest & Woodland,Tree",638193.9929
142,BE1079,"2.B Temperate & Boreal Grassland & Shrubland,Herb",5197.500845
143,BE1079,"7.B Herbaceous Agricultural Vegetation,Herb",1333.068847
144,BE1079,"7.C Herbaceous & Woody Developed Vegetation,Herb",4500
145,BE1079,"7.C Herbaceous & Woody Developed Vegetation,Shrub",2700
146,BE1079,"7.C Herbaceous & Woody Developed Vegetation,Tree",35734.14224
147,BE1079,"Developed-Low Intensity,Developed",4500
148,BE1079,"Developed-Roads,Developed",34068.85061
149,BE1079,"Open Water,Water",46314.93049
150,BE1091,"1.B Temperate & Boreal Forest & Woodland,Tree",284289.0069
151,BE1091,"2.B Temperate & Boreal Grassland & Shrubland,Herb",900
152,BE1091,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",4500
153,BE1091,"2.C Shrub & Herb Wetland,Herb",8100
154,BE1091,"2.C Shrub & Herb Wetland,Tree",900
155,BE1091,"7.C Herbaceous & Woody Developed Vegetation,Herb",71974.03528
156,BE1091,"7.C Herbaceous & Woody Developed Vegetation,Shrub",6636.641266
157,BE1091,"7.C Herbaceous & Woody Developed Vegetation,Tree",146250.5311
158,BE1091,"Developed-High Intensity,Developed",25530.28005
159,BE1091,"Developed-Low Intensity,Developed",96875.50306
160,BE1091,"Developed-Medium Intensity,Developed",35139.00071
161,BE1091,"Developed-Roads,Developed",63686.71989
162,BE1091,"Open Water,Water",27760.76772
163,BE1095,"1.B Temperate & Boreal Forest & Woodland,Tree",441117.6612
164,BE1095,"7.C Herbaceous & Woody Developed Vegetation,Herb",48420.53165
165,BE1095,"7.C Herbaceous & Woody Developed Vegetation,Shrub",4382.378142
166,BE1095,"7.C Herbaceous & Woody Developed Vegetation,Tree",84217.38856
167,BE1095,"Developed-High Intensity,Developed",3600
168,BE1095,"Developed-Low Intensity,Developed",73377.44793
169,BE1095,"Developed-Medium Intensity,Developed",12383.65676
170,BE1095,"Developed-Roads,Developed",82166.42608
171,BE1095,"Open Water,Water",22876.99565
172,BE1107,"1.B Temperate & Boreal Forest & Woodland,Tree",412058.6895
173,BE1107,"2.B Temperate & Boreal Grassland & Shrubland,Herb",2262.644738
174,BE1107,"2.C Shrub & Herb Wetland,Herb",1255.682373
175,BE1107,"7.C Herbaceous & Woody Developed Vegetation,Herb",141464.3843
176,BE1107,"7.C Herbaceous & Woody Developed Vegetation,Shrub",2358.54219
177,BE1107,"7.C Herbaceous & Woody Developed Vegetation,Tree",124400.2907
178,BE1107,"Developed-Low Intensity,Developed",37976.30194
179,BE1107,"Developed-Medium Intensity,Developed",13742.30041
180,BE1107,"Developed-Roads,Developed",37023.6497
181,BE1111,"1.B Temperate & Boreal Forest & Woodland,Tree",368203.6067
182,BE1111,"7.C Herbaceous & Woody Developed Vegetation,Herb",66481.36421
183,BE1111,"7.C Herbaceous & Woody Developed Vegetation,Shrub",12467.38158
184,BE1111,"7.C Herbaceous & Woody Developed Vegetation,Tree",190600.4068
185,BE1111,"Developed-Low Intensity,Developed",57513.42219
186,BE1111,"Developed-Roads,Developed",77276.30451
187,BE1123,"1.B Temperate & Boreal Forest & Woodland,Tree",594668.9466
188,BE1123,"2.B Temperate & Boreal Grassland & Shrubland,Herb",4852.825928
189,BE1123,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",2461.290824
190,BE1123,"7.B Herbaceous Agricultural Vegetation,Herb",6300
191,BE1123,"7.C Herbaceous & Woody Developed Vegetation,Herb",41771.0924
192,BE1123,"7.C Herbaceous & Woody Developed Vegetation,Shrub",4821.8247
193,BE1123,"7.C Herbaceous & Woody Developed Vegetation,Tree",75230.86251
194,BE1123,"Developed-Low Intensity,Developed",11054.83881
195,BE1123,"Developed-Roads,Developed",31380.80416
196,BE1127,"1.B Temperate & Boreal Forest & Woodland,Tree",675332.9198
197,BE1127,"2.B Temperate & Boreal Grassland & Shrubland,Herb",900
198,BE1127,"2.C Shrub & Herb Wetland,Herb",936.5326332
199,BE1127,"7.A Woody Agricultural Vegetation,Tree",1845.077939
200,BE1127,"7.C Herbaceous & Woody Developed Vegetation,Herb",2565.104912
201,BE1127,"7.C Herbaceous & Woody Developed Vegetation,Tree",10656.11077
202,BE1127,"Developed-Low Intensity,Developed",8401.776087
203,BE1127,"Developed-Roads,Developed",14607.5792
204,BE1127,"Open Water,Water",57297.38456
205,BE1132,"1.B Temperate & Boreal Forest & Woodland,Tree",412277.1592
206,BE1132,"7.C Herbaceous & Woody Developed Vegetation,Herb",28049.55162
207,BE1132,"7.C Herbaceous & Woody Developed Vegetation,Tree",124648.941
208,BE1132,"Developed-High Intensity,Developed",6726.488727
209,BE1132,"Developed-Low Intensity,Developed",65816.6114
210,BE1132,"Developed-Medium Intensity,Developed",43079.10462
211,BE1132,"Developed-Roads,Developed",52137.98926
212,BE1132,"Open Water,Water",39806.64011
213,BE1139,"1.B Temperate & Boreal Forest & Woodland,Tree",360341.3251
214,BE1139,"2.B Temperate & Boreal Grassland & Shrubland,Herb",9335.793156
215,BE1139,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",5748.646643
216,BE1139,"2.C Shrub & Herb Wetland,Herb",1800
217,BE1139,"2.C Shrub & Herb Wetland,Tree",1800
218,BE1139,"7.A Woody Agricultural Vegetation,Tree",576.3427734
219,BE1139,"7.B Herbaceous Agricultural Vegetation,Herb",89584.38265
220,BE1139,"7.C Herbaceous & Woody Developed Vegetation,Herb",67861.71014
221,BE1139,"7.C Herbaceous & Woody Developed Vegetation,Shrub",2700
222,BE1139,"7.C Herbaceous & Woody Developed Vegetation,Tree",47251.06099
223,BE1139,"Developed-High Intensity,Developed",640.4325251
224,BE1139,"Developed-Low Intensity,Developed",77611.15815
225,BE1139,"Developed-Medium Intensity,Developed",1890.677072
226,BE1139,"Developed-Roads,Developed",64943.48617
227,BE1139,"Open Water,Water",40457.47059
228,BE1140,"1.B Temperate & Boreal Forest & Woodland,Tree",362763.6649
229,BE1140,"2.B Temperate & Boreal Grassland & Shrubland,Herb",8888.361868
230,BE1140,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",5415.961984
231,BE1140,"2.C Shrub & Herb Wetland,Herb",1800
232,BE1140,"2.C Shrub & Herb Wetland,Tree",1800
233,BE1140,"7.A Woody Agricultural Vegetation,Tree",576.3427734
234,BE1140,"7.B Herbaceous Agricultural Vegetation,Herb",88892.48823
235,BE1140,"7.C Herbaceous & Woody Developed Vegetation,Herb",67528.79329
236,BE1140,"7.C Herbaceous & Woody Developed Vegetation,Shrub",2700
237,BE1140,"7.C Herbaceous & Woody Developed Vegetation,Tree",46793.30066
238,BE1140,"Developed-High Intensity,Developed",812.1316212
239,BE1140,"Developed-Low Intensity,Developed",78992.92609
240,BE1140,"Developed-Medium Intensity,Developed",1908.59839
241,BE1140,"Developed-Roads,Developed",63385.49541
242,BE1140,"Open Water,Water",40284.42073
243,BE1143,"1.B Temperate & Boreal Forest & Woodland,Tree",550430.6202
244,BE1143,"2.B Temperate & Boreal Grassland & Shrubland,Herb",910.4061989
245,BE1143,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",1800
246,BE1143,"7.B Herbaceous Agricultural Vegetation,Herb",45005.31624
247,BE1143,"7.C Herbaceous & Woody Developed Vegetation,Herb",23172.64929
248,BE1143,"7.C Herbaceous & Woody Developed Vegetation,Shrub",1800
249,BE1143,"7.C Herbaceous & Woody Developed Vegetation,Tree",95411.11139
250,BE1143,"Developed-Low Intensity,Developed",10871.54172
251,BE1143,"Developed-Roads,Developed",12371.90465
252,BE1143,"Open Water,Water",30768.93625
253,BE1144,"1.B Temperate & Boreal Forest & Woodland,Tree",557599.0282
254,BE1144,"2.B Temperate & Boreal Grassland & Shrubland,Herb",1448.08157
255,BE1144,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",1800
256,BE1144,"7.B Herbaceous Agricultural Vegetation,Herb",53220.97836
257,BE1144,"7.C Herbaceous & Woody Developed Vegetation,Herb",18558.06428
258,BE1144,"7.C Herbaceous & Woody Developed Vegetation,Shrub",1276.046262
259,BE1144,"7.C Herbaceous & Woody Developed Vegetation,Tree",89974.78511
260,BE1144,"Developed-Low Intensity,Developed",3955.598233
261,BE1144,"Developed-Roads,Developed",12453.70453
262,BE1144,"Open Water,Water",32256.19936
263,BE1155,"1.B Temperate & Boreal Forest & Woodland,Tree",160865.3209
264,BE1155,"2.B Temperate & Boreal Grassland & Shrubland,Herb",407.7373931
265,BE1155,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",3600
266,BE1155,"2.C Shrub & Herb Wetland,Tree",900
267,BE1155,"7.C Herbaceous & Woody Developed Vegetation,Herb",81376.16177
268,BE1155,"7.C Herbaceous & Woody Developed Vegetation,Shrub",2700
269,BE1155,"7.C Herbaceous & Woody Developed Vegetation,Tree",236872.9316
270,BE1155,"Developed-High Intensity,Developed",18373.21687
271,BE1155,"Developed-Low Intensity,Developed",137650.9811
272,BE1155,"Developed-Medium Intensity,Developed",21329.47232
273,BE1155,"Developed-Roads,Developed",106514.4006
274,BE1155,"Open Water,Water",1952.263452
275,BE1159,"1.B Temperate & Boreal Forest & Woodland,Tree",658735.7741
276,BE1159,"7.C Herbaceous & Woody Developed Vegetation,Herb",9119.098929
277,BE1159,"7.C Herbaceous & Woody Developed Vegetation,Shrub",3600
278,BE1159,"7.C Herbaceous & Woody Developed Vegetation,Tree",49509.86218
279,BE1159,"Developed-Low Intensity,Developed",4500
280,BE1159,"Developed-Roads,Developed",40809.97575
281,BE1159,"Open Water,Water",6267.774952
282,BE1171,"1.B Temperate & Boreal Forest & Woodland,Tree",338255.1087
283,BE1171,"2.B Temperate & Boreal Grassland & Shrubland,Herb",2262.644738
284,BE1171,"2.C Shrub & Herb Wetland,Herb",1255.682373
285,BE1171,"7.B Herbaceous Agricultural Vegetation,Herb",96014.8148
286,BE1171,"7.C Herbaceous & Woody Developed Vegetation,Herb",97677.43702
287,BE1171,"7.C Herbaceous & Woody Developed Vegetation,Shrub",4415.493046
288,BE1171,"7.C Herbaceous & Woody Developed Vegetation,Tree",159989.4103
289,BE1171,"Developed-High Intensity,Developed",2432.488992
290,BE1171,"Developed-Low Intensity,Developed",37462.00262
291,BE1171,"Developed-Medium Intensity,Developed",4010.685704
292,BE1171,"Developed-Roads,Developed",28766.71769
293,BE1175,"1.B Temperate & Boreal Forest & Woodland,Tree",694255.3117
294,BE1175,"7.C Herbaceous & Woody Developed Vegetation,Herb",2484.869235
295,BE1175,"7.C Herbaceous & Woody Developed Vegetation,Shrub",2700
296,BE1175,"7.C Herbaceous & Woody Developed Vegetation,Tree",44046.44271
297,BE1175,"Developed-Low Intensity,Developed",226.5301662
298,BE1175,"Developed-Roads,Developed",28829.33217
299,BE1187,"1.B Temperate & Boreal Forest & Woodland,Tree",447719.9202
300,BE1187,"2.B Temperate & Boreal Grassland & Shrubland,Herb",1611.031073
301,BE1187,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",3605.207827
302,BE1187,"2.C Shrub & Herb Wetland,Tree",1228.865054
303,BE1187,"7.A Woody Agricultural Vegetation,Tree",2418.238084
304,BE1187,"7.B Herbaceous Agricultural Vegetation,Herb",870.9094919
305,BE1187,"7.C Herbaceous & Woody Developed Vegetation,Herb",65579.27634
306,BE1187,"7.C Herbaceous & Woody Developed Vegetation,Shrub",5988.757384
307,BE1187,"7.C Herbaceous & Woody Developed Vegetation,Tree",130101.8292
308,BE1187,"Developed-High Intensity,Developed",6377.758755
309,BE1187,"Developed-Low Intensity,Developed",23529.62475
310,BE1187,"Developed-Medium Intensity,Developed",16593.00667
311,BE1187,"Developed-Roads,Developed",66918.06109
312,BE1191,"1.B Temperate & Boreal Forest & Woodland,Tree",442168.2081
313,BE1191,"2.B Temperate & Boreal Grassland & Shrubland,Herb",358.3241693
314,BE1191,"7.A Woody Agricultural Vegetation,Tree",1845.077939
315,BE1191,"7.C Herbaceous & Woody Developed Vegetation,Herb",39565.91638
316,BE1191,"7.C Herbaceous & Woody Developed Vegetation,Shrub",893.9531732
317,BE1191,"7.C Herbaceous & Woody Developed Vegetation,Tree",44726.21602
318,BE1191,"Developed-Low Intensity,Developed",101628.3382
319,BE1191,"Developed-Medium Intensity,Developed",2700
320,BE1191,"Developed-Roads,Developed",113437.8563
321,BE1191,"Open Water,Water",25218.5957
322,BE1196,"1.B Temperate & Boreal Forest & Woodland,Tree",137211.707
323,BE1196,"7.C Herbaceous & Woody Developed Vegetation,Herb",238379.275
324,BE1196,"7.C Herbaceous & Woody Developed Vegetation,Shrub",19894.12549
325,BE1196,"7.C Herbaceous & Woody Developed Vegetation,Tree",67718.18854
326,BE1196,"Developed-High Intensity,Developed",7840.908151
327,BE1196,"Developed-Low Intensity,Developed",114930.3857
328,BE1196,"Developed-Medium Intensity,Developed",68040.55884
329,BE1196,"Developed-Roads,Developed",89466.97425
330,BE1196,"Open Water,Water",29060.36294
331,BK1088,"1.B Temperate & Boreal Forest & Woodland,Tree",31727.58118
332,BK1088,"7.C Herbaceous & Woody Developed Vegetation,Herb",95271.99196
333,BK1088,"7.C Herbaceous & Woody Developed Vegetation,Shrub",3882.65856
334,BK1088,"7.C Herbaceous & Woody Developed Vegetation,Tree",51900.16048
335,BK1088,"Developed-High Intensity,Developed",1245.723925
336,BK1088,"Developed-Low Intensity,Developed",207546.6278
337,BK1088,"Developed-Medium Intensity,Developed",65281.57286
338,BK1088,"Developed-Roads,Developed",315686.1691
339,BK1152,"1.B Temperate & Boreal Forest & Woodland,Tree",50773.68295
340,BK1152,"2.B Temperate & Boreal Grassland & Shrubland,Herb",9631.726745
341,BK1152,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",3575.768618
342,BK1152,"7.C Herbaceous & Woody Developed Vegetation,Herb",164449.8205
343,BK1152,"7.C Herbaceous & Woody Developed Vegetation,Shrub",11052.68555
344,BK1152,"7.C Herbaceous & Woody Developed Vegetation,Tree",27432.29513
345,BK1152,"Developed-High Intensity,Developed",12399.48822
346,BK1152,"Developed-Low Intensity,Developed",184369.901
347,BK1152,"Developed-Medium Intensity,Developed",74059.69162
348,BK1152,"Developed-Roads,Developed",234797.4256
349,BK1200,"1.B Temperate & Boreal Forest & Woodland,Tree",110089.6758
350,BK1200,"2.B Temperate & Boreal Grassland & Shrubland,Herb",45790.33535
351,BK1200,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",1368.797147
352,BK1200,"2.C Shrub & Herb Wetland,Herb",1800
353,BK1200,"7.C Herbaceous & Woody Developed Vegetation,Herb",66714.28326
354,BK1200,"7.C Herbaceous & Woody Developed Vegetation,Shrub",9807.749877
355,BK1200,"7.C Herbaceous & Woody Developed Vegetation,Tree",148509.9727
356,BK1200,"Developed-High Intensity,Developed",8285.064697
357,BK1200,"Developed-Low Intensity,Developed",171783.6264
358,BK1200,"Developed-Medium Intensity,Developed",75915.68302
359,BK1200,"Developed-Roads,Developed",124929.5323
360,BK1200,"Open Water,Water",7547.765373
361,BR1013,"1.B Temperate & Boreal Forest & Woodland,Tree",92380.70323
362,BR1013,"2.B Temperate & Boreal Grassland & Shrubland,Herb",1476.342773
363,BR1013,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",4500
364,BR1013,"2.C Shrub & Herb Wetland,Tree",7313.123007
365,BR1013,"7.C Herbaceous & Woody Developed Vegetation,Herb",84654.44568
366,BR1013,"7.C Herbaceous & Woody Developed Vegetation,Shrub",32865.18556
367,BR1013,"7.C Herbaceous & Woody Developed Vegetation,Tree",432050.3539
368,BR1013,"Developed-Low Intensity,Developed",54621.05538
369,BR1013,"Developed-Medium Intensity,Developed",11629.13984
370,BR1013,"Developed-Roads,Developed",51052.13653
371,BR1023,"1.B Temperate & Boreal Forest & Woodland,Tree",219588.8881
372,BR1023,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",1800
373,BR1023,"7.A Woody Agricultural Vegetation,Tree",1214.820199
374,BR1023,"7.B Herbaceous Agricultural Vegetation,Herb",7680.943269
375,BR1023,"7.C Herbaceous & Woody Developed Vegetation,Herb",109552.9608
376,BR1023,"7.C Herbaceous & Woody Developed Vegetation,Shrub",17676.34277
377,BR1023,"7.C Herbaceous & Woody Developed Vegetation,Tree",261553.9169
378,BR1023,"Developed-Low Intensity,Developed",87878.89635
379,BR1023,"Developed-Medium Intensity,Developed",576.3427734
380,BR1023,"Developed-Roads,Developed",65019.37467
381,BR1025,"1.B Temperate & Boreal Forest & Woodland,Tree",710213.7464
382,BR1025,"2.B Temperate & Boreal Grassland & Shrubland,Herb",1800
383,BR1025,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",4500
384,BR1025,"7.C Herbaceous & Woody Developed Vegetation,Shrub",399.4254118
385,BR1025,"7.C Herbaceous & Woody Developed Vegetation,Tree",17211.50852
386,BR1025,"Developed-Low Intensity,Developed",900
387,BR1025,"Developed-Roads,Developed",37517.80562
388,BR1029,"1.B Temperate & Boreal Forest & Woodland,Shrub",900
389,BR1029,"1.B Temperate & Boreal Forest & Woodland,Tree",425013.264
390,BR1029,"2.B Temperate & Boreal Grassland & Shrubland,Herb",56646.73785
391,BR1029,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",9081.958008
392,BR1029,"2.C Shrub & Herb Wetland,Herb",170354.7753
393,BR1029,"2.C Shrub & Herb Wetland,Shrub",18707.36552
394,BR1029,"7.B Herbaceous Agricultural Vegetation,Agriculture",60.11712176
395,BR1029,"7.C Herbaceous & Woody Developed Vegetation,Herb",4362.821444
396,BR1029,"7.C Herbaceous & Woody Developed Vegetation,Tree",724.2755045
397,BR1029,"Developed-Low Intensity,Developed",4734.438822
398,BR1029,"Developed-Medium Intensity,Developed",39.5388974
399,BR1029,"Developed-Roads,Developed",14641.72679
400,BR1029,"Open Water,Water",67275.46663
401,BR1041,"1.B Temperate & Boreal Forest & Woodland,Tree",692620.9449
402,BR1041,"2.B Temperate & Boreal Grassland & Shrubland,Herb",1800
403,BR1041,"2.B Temperate & Boreal Grassland & Shrubland,Shrub",4500
404,BR1041,"7.A Woody Agricultural Vegetation,Tree",1707.959082
